last_name,first_name,address,email,phone,cust_ID
Abuhamda,Abdallah,"450 West Greentree Drive, Chandler, AZ",abd2127993@maricopa.edu,"(669) 233-6333",1
Jackson,Robert,"256 South Parkway Lane, Gilbert, AZ",robbie_j90@gmail.com,"(480) 345-2563",2
Gill,Bates,"420 North Softon Avenue, Scottsdale, AZ",th3_G1ll_B4tes@outlook.com,"(669) 420-6969",3
Rattfeyse,Michael,"327 East Horshoe Street, Mesa, AZ",f4tty_r4tty@gmail.com,"(623) 627-2052",4
Smithson,Bobert,"2452 West Thrashroe Trail, Phoenix, AZ",mrsmithsonBobert71@gmail.com,"(623) 627-2052",5
Smithson,Ellen,"2452 West Thrashroe Trail, Phoenix, AZ",ellen_r_sm1ths0n@gmail.com,"(623) 383-9175",6
Hawkensmitt,Melinda,"457 South Medicway Lane, Gilbert, AZ",mHawkensmitt91@gmail.com,"(480) 385-1842",7
Homesdale,Roxanne,"792 South Howard Drive, Mesa, AZ",roxy_D4le@gmail.com,"(669) 345-2951",8
Hawkensmitt,Melinda,"457 South Medicway Lane, Gilbert, AZ",mHawkensmitt91@gmail.com,"(480) 385-1842",9
Riley,Beth,"2895 North Garrett Road, Tempe, AZ",rileey_b3th@gmail.com,"(623) 643-0384",10
Roberts,Eleanor,"385 East Woodland Avenue, Sedona, AZ",elie_m_r0b@gmail.com,"(928) 465-2845",11
